Date reported,Hospitalized in ICU (daily),"Hospitalized, not in ICU (daily)",Total hospitalizations,Total ICU hospitalizations,ICU rolling avg,Med-surg rolling avg,
5-Aug,152,153,"5,373","1,575",150.5714286,158.5714286,
6-Aug,153,166,"5,421","1,583",152.2857143,159.8571429,
7-Aug,155,145,"5,458","1,592",152.8571429,157.5714286,
8-Aug,154,155,"5,506","1,603",153.5714286,155.7142857,
9-Aug,148,164,"5,555","1,615",153.4285714,157.2857143,
10-Aug,159,161,"5,606","1,633",154.2857143,159,
11-Aug,147,190,"5,661","1,648",152.5714286,162,
12-Aug,154,181,"5,711","1,657",152.8571429,166,
13-Aug,154,154,"5,742","1,671",153,164.2857143,
14-Aug,152,161,"5,783","1,679",152.5714286,166.5714286,
15-Aug,140,167,"5,822","1,691",150.5714286,168.2857143,
16-Aug,152,138,"5,851","1,700",151.1428571,164.5714286,
17-Aug,155,131,"5,886","1,716",150.5714286,160.2857143,
